PMAID,name,lng,lat,Adult Fitness Equipment,Art in the Park,Baseball/Softball Fields,Basketball Courts,Dog Off Leash Areas,Drinking fountains,Fire Pits,Fishing piers,Football Fields,Gardens,Grills,Hand Carry Boat Launches,Motorized Boat Launches,Picnic Sites,Play Area,Restrooms,Skate Park,Soccer Fields,Spray Parks,Swimming Beaches,Tennis Courts,Track Fields,Trails,Views,Volleyball Courts,Wading Pools
297,Little Brook Park,-122.294567,47.731387,,,,,,yes,,,,,,,,,yes,yes,,,,,,,,,,
301,Llandover Woods Greenspace,-122.364545,47.733024,,,,,,,,,,,,,,,,,,,,,,,yes,,,
264,Longfellow Creek Greenspace,-122.363435,47.530167,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,
362,Louisa Boren Park,-122.311628,47.635274,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,
461,Lowman Beach Park,-122.396728,47.540367,,,,,,,,,,,,yes,,,yes,,,,,,yes,,,yes,,
289,Loyal Heights Playfield,-122.38324,47.684106,,,yes,yes,,yes,,,yes,,,,,,yes,,,yes,,,,,,,,
4075,Lynn Street Mini Park,-122.32975,47.639849,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,
4422,MacLean Park,-122.345276,47.636191,,,,,,,,,,,,,,,,,,,,,,,,yes,,
369,Madison Park,-122.276602,47.635779,,,,,,yes,,,,,,,,,yes,yes,,,,yes,yes,,,yes,,
4441,Madison Park North Beach,-122.276118,47.639084,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,
4005,Madrona Briar Patch,-122.284261,47.615231,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Madrona Park,-122.282679,47.609299,,,,,,yes,,yes,,,yes,,,yes,yes,yes,,,,yes,,,yes,yes,,
371,Madrona Playground,-122.289885,47.611022,,,,yes,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,
2856,Madrona Ravine,-122.285412,47.611456,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Magnolia Greenbelt,-122.389073,47.636006,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Magnolia Manor Park,-122.390877,47.651085,,,,,yes,,,,,,,,,,,,,,,,,,,,,
317,Magnolia Park,-122.398993,47.632366,,,,,,yes,,,,,yes,,,yes,yes,yes,,,,,yes,,,yes,,
319,Magnolia Playfield,-122.399472,47.643746,,,yes,,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,
2970,Magnolia Tidelands Park,-122.391648,47.630922,,,,,,,,,,,,,,,,,,,,,,,,,,
111110,Magnuson Park,-122.255084,47.680304,,,,,,,,,,,,,,,,,,,,,,,,,,
