pmaid,name,lng,lat,adult_fitness_equipment,art_in_the_park,baseball/softball_fields,basketball_courts,dog_off_leash_areas,drinking_fountains,fire_pits,fishing_piers,football_fields,gardens,grills,hand_carry_boat_launches,motorized_boat_launches,picnic_sites,play_area,restrooms,skate_park,soccer_fields,spray_parks,swimming_beaches,tennis_courts,track_fields,trails,views,volleyball_courts,wading_pools
242,Gilman Playground,-122.369684,47.667292,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes
243,Golden Gardens Park,-122.403454,47.686852,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
354,Grand Army of the Republic Cemetery,-122.316261,47.636461,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
307,Green Lake Park,-122.330394,47.678938,no,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes
4408,Greenwood Park,-122.350647,47.693048,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
245,Greenwood Triangle,-122.361032,47.668902,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4157,Greg Davis Park,-122.366001,47.55437,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
454,Hamilton Viewpoint Park,-122.38907,47.590748,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
355,Harborview Park,-122.323693,47.603014,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
356,Harrison Ridge Greenbelt,-122.290339,47.619711,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3695,Harvard-Miller/Roanoke Annex,-122.321643,47.641091,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4412,Herring's House Park (T'ul'altx),-122.349545,47.561514,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
456,Hiawatha Playfield,-122.384965,47.578272,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes
3983,Highland Drive Parkway,-122.353337,47.629736,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
457,Highland Park Playground,-122.349034,47.52738,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no
3979,Highland Place,-122.355466,47.629656,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
358,Hing Hay Park,-122.325435,47.598609,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
4413,Hitt's Hill Park,-122.28455,47.554207,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
4426,Homer Harris Park,-122.300994,47.617309,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
43,Horiuchi Park,-122.318982,47.603132,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
3927,Horton Hill Corridor,-122.287187,47.573846,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
359,Howell Park,-122.280313,47.617518,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
4456,Hubbard Homestead,-122.324674,47.709964,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
4032,Hunter Boulevard,-122.285153,47.573877,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
439,Hutchinson Playground,-122.260062,47.514312,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no
3905,Hyde Place,-122.282887,47.632304,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4446,I-5 Colonnade,-122.323409,47.634898,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
3887,Interbay Athletic Complex,-122.379191,47.647239,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
